"","Name","Team","birthday","mlbid","playerid"
"985","Dallas Martinez","- - -",1994-10-28,622661,"sa657790"
"986","Dallas Woolfolk","Athletics (R)",1996-10-30,663762,"sa3007771"
"987","Dalton Erb","- - -",1994-05-13,670326,"sa918681"
"988","Dalton Geekie","- - -",1994-10-03,664016,"sa875332"
"989","Dalton Higgins","Yankees (A)",1995-08-08,669378,"sa3004988"
"990","Dalton Lehnen","- - -",1996-05-16,676404,"sa873948"
"991","Dalton Moats","Rays (AA)",1995-05-24,641889,"sa738506"
"992","Dalton Rodriguez","- - -",1996-08-20,631229,"sa737091"
"993","Dalvin Rosario","Phillies (R)",2000-06-15,672777,"sa3005144"
"994","Damian Mendoza","Rangers (R)",2001-01-25,677604,"sa3005430"
"995","Damon Casetta-Stubbs","Mariners (R)",1999-07-22,677316,"sa3008387"
"996","Damon Jones","Phillies (A)",1994-09-30,676103,"sa3004862"
"997","Dan Dallas","- - -",1997-12-24,670035,"sa918033"
"998","Dan Jagiello","- - -",1995-05-23,668966,"sa913036"
"999","Dan Lietz","- - -",1994-06-01,641789,"sa737818"
"1000","Dane Dunning","- - -",1994-12-20,641540,"sa738926"
"1001","Dane Myers","Tigers (A)",1996-03-08,667472,"sa915708"
"1002","Daneuris Lagrange","White Sox (R)",1998-06-17,680587,"sa3007902"
"1003","Daniel Acosta","Indians/Brewers (R)",1997-02-27,667319,"sa916724"
"1004","Daniel Alvarez","- - -",1996-06-28,656032,"sa828462"
"1005","Daniel Bello","Astros (R)",1997-01-08,678234,"sa3006970"
"1006","Daniel Bies","- - -",1996-04-09,680768,"sa3007609"
"1007","Daniel Brito","Mexican (AAA)",1992-02-12,674497,"sa977188"
"1008","Daniel Brown","Brewers (A+)",1995-03-22,667681,"sa918031"
"1009","Daniel Calderon","Yankees (R)",1997-10-13,672401,"sa3004649"
"1010","Daniel Castano","- - -",1994-09-17,641447,"sa873271"
"1011","Daniel Cruz","Dodgers (R)",1997-10-05,677645,"sa3006101"
"1012","Daniel De La Cruz","- - -",1998-04-29,675237,"sa3002689"
"1013","Daniel De La Fuente","- - -",1997-07-18,675880,"sa3002596"
"1014","Daniel De Leon","Rangers (R)",2001-05-09,681721,"sa3005888"
"1015","Daniel Duarte","- - -",1996-12-04,650960,"sa877364"
"1016","Daniel Figueroa","Indians (R)",2000-09-25,679161,"sa3007900"
"1017","Daniel Flores","- - -",1998-02-06,674481,"sa977180"
"1018","Daniel Gibson","- - -",1991-10-16,592336,"sa549733"
"1019","Daniel Gonzalez","Red Sox (A+)",1996-02-09,642557,"sa737056"
"1020","Daniel Gonzalez","White Sox (A+)",1995-12-06,642311,"sa737255"
"1021","Daniel Gonzalez","- - -",1995-08-15,660429,"sa871449"
"1022","Daniel Guerrero","- - -",1985-07-21,473659,"sa325916"
"1023","Daniel Guzman","- - -",1998-02-16,660655,"sa873203"
"1024","Daniel James","- - -",1996-01-19,674333,"sa3007217"
"1025","Daniel Lynch","- - -",1996-11-17,663738,"sa3007588"
"1026","Daniel Marten","- - -",1997-05-07,666798,"sa917390"
"1027","Daniel Martinez","Indians/Brewers (R)",1999-09-25,679557,"sa3005454"
"1028","Daniel Martinez","- - -",1998-07-28,681979,"sa3007734"
"1029","Daniel McGrath","Red Sox (AA)",1994-07-07,600011,"sa739598"
"1030","Daniel Procopio","- - -",1995-09-18,641990,"sa738270"
"1031","Daniel Ramos","Yankees (A)",1995-03-06,650736,"sa828512"
"1032","Daniel Salters","Indians (AA)",1993-02-05,622192,"sa829475"
"1033","Daniel Santana","Rays (R)",1998-04-16,672659,"sa3003011"
"1034","Daniel Spingola","- - -",1993-05-05,605487,"sa829496"
"1035","Daniel Tillo","- - -",1996-06-13,664700,"sa876284"
"1036","Daniel Tolano","Mexican (AAA)",1995-12-19,683122,"sa3008582"
"1037","Daniel Vilchez","Phillies (R)",2000-10-04,678724,"sa3007228"
"1038","Daniel Vitriago","Royals (R)",2000-12-05,678631,"sa3006586"
"1039","Danis Correa","Cubs (R)",1999-08-26,672550,"sa3002980"
"1040","Danny Bethea","Red Sox (A-)",1990-01-31,643220,"sa738923"
"1041","Danny Dopico","- - -",1993-12-18,661832,"sa875346"
"1042","Danny Garcia","Mariners (A+)",1994-02-21,641594,"sa872723"
"1043","Danny Gutierrez","Mexican (AAA)",1987-03-08,488927,"sa326150"
"1044","Danny Hrbek","Royals (A)",1994-12-27,677160,"sa3004716"
"1045","Danny Hultzen","- - -",1989-11-28,543343,"sa455118"
"1046","Danny Moreno","Twins (R)",1999-10-10,678378,"sa3006615"
"1047","Danny Sexton","- - -",1995-06-30,677360,"sa3004492"
"1048","Danny Young","Blue Jays (AA)",1994-05-27,664849,"sa875200"
"1049","Dannysmel Tavarez","Reds (R)",1998-03-10,675855,"sa3003161"
"1050","Dante Mendoza","Indians (R)",1998-12-16,676686,"sa3005361"
"1051","Dantel Ramirez","Brewers (R)",1999-01-07,681607,"sa3005463"
"1052","Dany Jimenez","Blue Jays (A)",1993-12-23,666204,"sa885967"
"1053","Darel Torres","Rangers (R)",1999-01-05,665958,"sa947269"
"1054","Dariel Aquino","Astros (A)",1996-01-30,642704,"sa737549"
"1055","Dariel Rivera","Mets (R)",1997-10-01,670400,"sa918547"
"1056","Darien Nunez","- - -",1993-03-19,628345,"sa3005427"
"1057","Darin Gillies","- - -",1992-11-06,606981,"sa875269"
"1058","Dario Agrazal","- - -",1994-12-28,642607,"sa737059"
"1059","Dario Beltre","- - -",1992-11-19,593580,"sa550679"
"1060","Dario Gardea","Tigers (R)",1999-01-29,677915,"sa3007598"
"1061","Dario Peralta","Royals (R)",2000-10-12,682907,"sa3008390"
"1062","Daritzon Feliz","Indians (R)",1999-08-19,674379,"sa3002813"
"1063","Darlin Camilo","- - -",1999-11-17,678480,"sa3006364"
"1064","Darlin Noboa","Indians (R)",2000-02-19,680857,"sa3006821"
"1065","Darling Baez","- - -",1997-06-26,673248,"sa3003077"
"1066","Darren McCaughan","- - -",1996-03-18,670766,"sa3005014"
"1067","Darrien Williams","Angels (R)",1996-06-24,679463,"sa3007605"
"1068","Darwin Feliz","Royals (R)",1996-09-19,660586,"sa873156"
"1069","Darwin Ramos","Mets (A)",1995-11-23,642566,"sa737380"
"1070","Darwinzon Hernandez","- - -",1996-12-17,650382,"sa828318"
"1071","Daulton Jefferies","Athletics (R)",1995-08-02,641726,"sa738964"
"1072","Dauri Moreta","- - -",1996-04-15,664294,"sa877619"
"1073","Dauris Cordero","Rays (R)",1999-07-18,667541,"sa917467"
"1074","Dauris Lopez","- - -",1998-10-20,672403,"sa3002932"
"1075","Dauris Valdez","Padres (A+)",1995-10-22,667378,"sa917999"
"1076","Daury Cabrera","- - -",2000-10-23,680578,"sa3005706"
"1077","Daury Torrez","- - -",1993-06-11,602718,"sa596959"
"1078","David Bednar","Padres (A+)",1994-10-10,670280,"sa915715"
"1079","David Ellingson","- - -",1995-01-23,670287,"sa873708"
"1080","David Flores","Indians (R)",2000-11-02,682969,"sa3008433"
"1081","David Gutierrez","- - -",1993-08-18,664823,"sa874819"
"1082","David Hill","Rockies (A+)",1994-05-27,622101,"sa658377"
"1083","David Holman","Rockies (AAA)",1990-05-31,543328,"sa503702"
"1084","David Hurlbut","Rangers (AAA)",1989-11-24,571798,"sa503067"
"1085","David Lebron","- - -",1993-09-07,673933,"sa3006695"
"1086","David Ledbetter","Rangers (AAA)",1992-02-13,641780,"sa737643"
"1087","David MacKinnon","Angels (A+)",1994-12-15,676950,"sa873706"
"1088","David Marcano","Mets (R)",2001-08-28,678683,"sa3006377"
"1089","David McKay","- - -",1995-03-31,641853,"sa738438"
"1090","David Oca","Cardinals (R)",1995-07-04,642367,"sa737045"
"1091","David Parkinson","- - -",1995-12-14,663982,"sa3004857"
"1092","David Peterson","Braves (AAA)",1990-01-04,543639,"sa603091"
"1093","David Peterson","- - -",1995-09-03,656849,"sa829588"
"1094","David Reyes","Mexican (AAA)",1990-04-12,547862,"sa592948"
"1095","David Richardson","Mexican (AAA)",1991-01-31,594976,"sa549266"
"1096","David Roseboom","- - -",1992-05-17,595389,"sa550321"
"1097","David Sopilka","Diamondbacks (A+)",1993-08-30,593427,"sa548066"
"1098","David Sosebee","- - -",1993-08-25,607729,"sa602907"
"1099","David Speer","Indians (AA)",1992-08-14,656991,"sa827385"
"1100","Davis Martin","- - -",1997-01-04,663436,"sa3008311"
"1101","Davison Gonzalez","Brewers (R)",1997-08-10,677653,"sa3005307"
"1102","Dayeison Arias","Mariners (A-)",1997-01-07,674375,"sa3002812"
"1103","Daysbel Hernandez","- - -",1996-09-15,678226,"sa3006065"
"1104","Dazon Cole","- - -",1996-05-03,657543,"sa3007583"
"1105","Dean Kremer","- - -",1996-01-07,665152,"sa876350"
"1106","Dedgar Jimenez","- - -",1996-03-06,642381,"sa736925"
"1107","Dedniel Nunez","Mets (R)",1996-06-05,673380,"sa3004203"
"1108","Deivi Diaz","- - -",1999-06-09,665880,"sa917803"
"1109","Deivi Garcia","- - -",1999-05-19,665620,"sa916944"
"1110","Deivy Florido","Mariners (R)",2000-09-17,678750,"sa3006380"
"1111","Deivy Mendez","- - -",1995-10-27,630028,"sa737357"
"1112","Deiyerbert Bolivar","Giants (R)",1996-04-03,650864,"sa828545"
"1113","Delvin Capellan","Royals (R)",1998-12-06,672611,"sa3002996"
"1114","Delvis Alegre","Marlins (R)",2001-02-02,677590,"sa3006352"
"1115","Demarcus Evans","Rangers (A)",1996-10-22,663770,"sa875783"
"1116","Dember Vizcaino","Orioles (R)",1995-05-12,660866,"sa873209"
"1117","Demetrio Gutierrez","Mexican (AAA)",1990-02-14,540988,"sa509262"
"1118","Denis Diaz","Blue Jays (A-)",1994-11-20,642760,"sa737242"
"1119","Denny Bentley","Twins (R)",1998-05-28,681025,"sa3007931"
"1120","Denny Brady","Angels (A)",1997-01-18,676610,"sa3004347"
"1121","Denny Martinez","- - -",1996-11-01,664326,"sa871672"
"1122","Denny Roman","- - -",1998-09-30,680653,"sa3007608"
"1123","Denyi Reyes","- - -",1996-11-02,660593,"sa872864"
"1124","Derek Casey","Cubs (A-)",1996-02-15,656297,"sa3008259"
"1125","Derek Craft","Yankees (R)",1996-07-11,681485,"sa3006824"
"1126","Derek Diaz","Cardinals (R)",2001-01-29,680613,"sa3005870"
"1127","Derek Heffel","Rangers (A)",1996-04-13,670160,"sa918326"
"1128","Derek Molina","- - -",1997-07-27,676670,"sa3005202"
"1129","Derek Self","- - -",1990-01-14,605464,"sa577722"
"1130","Derian Gonzalez","- - -",1995-01-31,642524,"sa737568"
"1131","Derrick Loop","- - -",1983-12-11,501886,"sa328208"
"1132","Derrik Watson","Rockies (A)",1994-08-21,676868,"sa3005034"
"1133","Devan Watts","- - -",1995-04-21,670086,"sa918361"
"1134","Devin Conn","Astros (A-)",1997-04-03,681958,"sa3007252"
"1135","Devin Davis","Rays (A)",1997-02-14,663343,"sa875805"
"1136","Devin Hemmerich","- - -",1995-07-11,676820,"sa3004672"
"1137","Devin Smeltzer","- - -",1995-09-07,656970,"sa829638"
"1138","Devin Sweet","- - -",1996-09-06,682967,"sa3008340"
"1139","Devin Williams","Brewers (A+)",1994-09-21,642207,"sa737560"
"1140","Devon Fisher","Red Sox (A)",1996-05-01,657216,"sa829287"
"1141","Devon Perez","- - -",1996-05-15,676799,"sa3006812"
"1142","Deybi Arias","Brewers (R)",2001-05-27,682553,"sa3008073"
"1143","Deyni Olivero","Diamondbacks (R)",1998-01-07,666007,"sa917869"
"1144","Diarlin Jimenez","Indians (R)",2000-03-18,673307,"sa3003091"
"1145","Didier Vargas","Cubs (R)",1999-03-13,672551,"sa3002981"
"1146","Diego Blanco","Rockies (R)",1999-09-14,672827,"sa3003038"
"1147","Diego Cordero","- - -",1999-10-21,672785,"sa3004004"
"1148","Diego Cordero","- - -",1997-09-08,660720,"sa873150"
"1149","Diego Goris","Padres (AAA)",1990-11-08,542357,"sa507199"
"1150","Dillon Drabble","Royals (A)",1996-07-12,670096,"sa918385"
"1151","Dillon McNamara","- - -",1991-10-06,621200,"sa738389"
"1152","Dillon Tate","- - -",1994-05-01,622253,"sa874239"
"1153","Dilmer Mejia","- - -",1997-07-09,650356,"sa828518"
"1154","Diogenes Almengo","- - -",1995-06-02,658742,"sa835215"
"1155","Diogenes Rodriguez","Royals (R)",1999-02-17,672637,"sa3003004"
"1156","Diomar Lopez","- - -",1996-12-15,650841,"sa828277"
"1157","Dionicio Jimenez","White Sox (R)",2001-01-07,680584,"sa3006072"
"1158","Dionis Zamora","- - -",1996-08-02,676175,"sa3003167"
"1159","Dionys Rodriguez","- - -",2000-09-03,681051,"sa3005877"
"1160","Diosmerky Taveras","Astros (R)",1999-09-23,677676,"sa3004872"
"1161","DJ Jenkins","Angels (A+)",1994-02-11,664106,"sa918613"
"1162","DJ Myers","Giants (A+)",1994-12-24,670169,"sa918356"
"1163","DL Hall","Orioles (A)",1998-09-19,669084,"sa3005282"
"1164","Domenic Mazza","- - -",1994-07-29,664935,"sa875342"
"1165","Domingo Acevedo","- - -",1994-03-06,642758,"sa739716"
"1166","Domingo Gonzalez","Pirates (R)",1999-09-27,682445,"sa3007495"
"1167","Domingo Jimenez","Indians (A)",1993-08-29,650492,"sa828539"
"1168","Domingo Pena","Royals (R)",1998-04-07,660845,"sa873339"
"1169","Domingo Robles","- - -",1998-04-29,660781,"sa872881"
"1170","Domingo Tapia","- - -",1991-08-04,593619,"sa547834"
"1171","Dominic DeMasi","- - -",1993-05-18,657558,"sa829567"
"1172","Dominic LoBrutto","Red Sox (A)",1996-05-31,661837,"sa3004573"
"1173","Dominic Pipkin","Phillies (R)",1999-11-05,669421,"sa3007896"
"1174","Dominic Taccolini","Padres (R)",1994-09-28,624521,"sa874063"
"1175","Donato Auguste","Cubs (R)",1998-01-19,672605,"sa3002995"
"1176","Donnie Sellers","Blue Jays (A)",1995-07-26,656947,"sa3003991"
"1177","Donny Breek","Twins (R)",1999-11-08,678281,"sa3007600"
"1178","Doug Domnarski","- - -",1994-07-08,676828,"sa3004707"
"1179","Doug Norman","Reds (R)",1995-10-20,656802,"sa913037"
"1180","Doug Still","- - -",1995-08-02,657769,"sa3006095"
"1181","Drew Beyer","Tigers (R)",1996-05-16,682603,"sa3008174"
"1182","Drew Carlton","- - -",1995-09-08,656290,"sa915572"
"1183","Drew Crosby","- - -",1995-11-16,676818,"sa3004477"
"1184","Drew Finley","Yankees (A-)",1996-07-10,663927,"sa875004"
"1185","Drew Fischer","Pirates (A)",1996-06-03,676994,"sa3004487"
"1186","Drew Harrington","- - -",1995-03-30,641666,"sa857676"
"1187","Drew Hasler","- - -",1993-08-14,665026,"sa876131"
"1188","Drew Muren","Blue Jays (AA)",1988-11-22,595339,"sa545091"
"1189","Drew Rom","Orioles (R)",1999-12-15,680723,"sa3007848"
"1190","Drew Strotman","Rays (A)",1996-09-03,675977,"sa3004584"
"1191","Drew Weston","- - -",1994-12-13,678030,"sa3005326"
"1192","Duany Gomez","- - -",2000-09-30,679400,"sa3006142"
"1193","Duncan Robinson","- - -",1993-12-05,670061,"sa874105"
"1194","Durbin Feltman","- - -",1997-04-18,664687,"sa3007959"
"1195","Durin O'Linger","- - -",1993-10-10,677205,"sa3004233"
"1196","Dusten Knight","- - -",1990-09-07,643400,"sa738418"
"1197","Dustin Beggs","- - -",1993-06-14,657511,"sa829242"
"1198","Dustin Crenshaw","Mexican (AAA)",1988-09-08,659925,"sa3001062"
"1199","Dustin Hunt","Angels (A+)",1994-08-02,650645,"sa873711"
"1200","Dustin Hurlbutt","Athletics (A+)",1992-11-05,664955,"sa875683"
"1201","Dustin May","- - -",1997-09-06,669160,"sa917992"
"1202","Dusty Isaacs","- - -",1991-08-07,595260,"sa550364"
"1203","Dylan Baker","Dodgers (AA)",1992-04-06,621173,"sa658002"
"1204","Dylan Bice","Rangers (R)",1997-08-17,670393,"sa918551"
"1205","Dylan Cease","- - -",1995-12-28,656302,"sa829000"
"1206","Dylan Coleman","- - -",1996-09-16,669395,"sa3006957"
"1207","Dylan Cyphert","Marlins (A-)",1996-09-10,663833,"sa3004449"
"1208","Dylan Dusek","Giants (R)",1995-02-20,673966,"sa3008327"
"1209","Dylan File","Brewers (A)",1996-06-04,668766,"sa3004197"
"1210","Dylan Lee","- - -",1994-08-01,669276,"sa918185"
"1211","Dylan Prohoroff","Pirates (A)",1994-11-29,669124,"sa918122"
"1212","Dylan Rheault","- - -",1992-03-21,643502,"sa738309"
"1213","Dylan Stock","- - -",1996-07-21,676874,"sa3004354"
"1214","Dylan Stowell","- - -",1995-01-13,668353,"sa3007209"
"1215","Dylan Unsworth","- - -",1992-09-23,596842,"sa550449"
"1216","Easton McGee","Rays (A-)",1997-12-26,668834,"sa917971"
"1217","Eddie Jimenez","Red Sox (R)",1995-08-09,681926,"sa3007855"
"1218","Eddison Polonia","Pirates (R)",1998-10-10,681174,"sa3006154"
"1219","Eddy Demurias","Reds (R)",1997-08-01,681493,"sa3007852"
"1220","Eddy Reynoso","Red Sox (R)",1994-08-07,664371,"sa878527"
"1221","Eddy Vargas","Pirates (R)",1997-10-12,678245,"sa3005814"
"1222","Eddy Yean","Nationals (R)",2001-06-25,678868,"sa3006543"
"1223","Eder Llamas","Mexican (AAA)",1985-09-21,480517,"sa509457"
"1224","Edgar Arredondo","- - -",1997-05-16,639238,"sa732750"
"1225","Edgar Escalona","- - -",1998-03-30,666772,"sa917472"
"1226","Edgar Escobar","Cardinals (R)",1997-01-20,681592,"sa3007244"
"1227","Edgar Garcia","- - -",1996-10-04,658305,"sa830494"
"1228","Edgar Gomez","Mexican (AAA)",1993-01-05,645417,"sa740804"
"1229","Edgar Gonzalez","Cardinals (A-)",1996-12-22,681811,"sa3007479"
"1230","Edgar Martinez","Padres (R)",2001-02-26,678641,"sa3006490"
"1231","Edgar Martinez","Diamondbacks (R)",1997-11-02,667596,"sa919826"
"1232","Edgar Martinez","Marlins (R)",1997-07-13,669998,"sa924538"
"1233","Edgar Navarro","White Sox (R)",1998-02-05,679346,"sa3005703"
"1234","Edgar Osuna","Mexican (AAA)",1987-11-25,466457,"sa328973"
"1235","Edgar Torres","- - -",1996-04-09,664475,"sa871316"
"1236","Edgardo Sandoval","- - -",1996-07-09,656031,"sa830035"
"1237","Ediberto Encarnacion","Rangers (R)",1994-02-09,664360,"sa878649"
"1238","Edilson Batista","Red Sox (R)",1997-07-07,660795,"sa872826"
"1239","Edinso Aleman","Phillies (R)",2000-10-06,679963,"sa3006558"
"1240","Edinson Diaz","- - -",1999-12-25,682427,"sa3008404"
"1241","Edinson Lopez","Orioles (R)",1998-06-05,678959,"sa3005450"
"1242","Edison Suriel","Marlins (R)",1998-10-24,665984,"sa917807"
"1243","Edisson Gonzalez","- - -",1999-10-02,672548,"sa3002979"
"1244","Edmar Gonzalez","Cubs (R)",1998-08-17,681771,"sa3005896"
"1245","Eduar Lopez","Rays (AA)",1995-02-21,622333,"sa657123"
"1246","Eduar Segovia","Phillies (R)",2001-01-10,680887,"sa3008374"
"1247","Eduard Bazardo","- - -",1995-09-01,660825,"sa873313"
"1248","Eduard Rosillo","Royals (R)",1993-12-22,665614,"sa880175"
"1249","Eduard Santos","Mexican (AAA)",1989-10-22,542742,"sa505276"
"1250","Eduardo Alvarez","Mexican (AAA)",1996-04-30,667902,"sa914209"
"1251","Eduardo Del Rosario","Angels (A)",1995-05-19,629493,"sa737089"
"1252","Eduardo Herrera","Diamondbacks (R)",2000-01-05,672620,"sa3002702"
"1253","Eduardo Jimenez","Tigers (A+)",1995-04-04,621592,"sa655954"
"1254","Eduardo Perez","Diamondbacks (R)",1997-09-27,673167,"sa3003059"
"1255","Eduardo Rivera","- - -",1992-09-24,602993,"sa597029"
"1256","Eduardo Salazar","- - -",1998-05-05,674285,"sa3003131"
"1257","Eduardo Vera","- - -",1994-07-03,622747,"sa657658"
"1258","Eduarniel Nunez","Cubs (R)",1999-06-07,674384,"sa3005284"
"1259","Edwar Colina","- - -",1997-05-03,666674,"sa917405"
"1260","Edwar Ramirez","- - -",1998-03-15,661391,"sa875838"
"1261","Edward Cabrera","Marlins (A)",1998-04-13,665795,"sa920423"
"1262","Edward Cuello","Dodgers (R)",1998-10-20,672859,"sa3002795"
"1263","Edward Escoboza","Reds (R)",1995-12-05,661419,"sa872537"
"1264","Edward Paredes","Yankees (R)",1999-01-07,665863,"sa916948"
"1265","Edward Vasquez","Cubs (R)",1997-07-07,675840,"sa3003156"
"1266","Edwin Cruz","Rangers (R)",1994-07-26,664588,"sa877873"
"1267","Edwin Gil","Mariners (R)",1999-07-22,681653,"sa3005798"
"1268","Edwin Jimenez","Braves (R)",2000-07-22,677657,"sa3004926"
"1269","Edwin Martinez","Mariners (R)",1995-07-31,656064,"sa828234"
"1270","Edwin Quezada","Mariners (R)",1996-11-22,676003,"sa3002691"
"1271","Edwin Quirarte","- - -",1986-12-20,489223,"sa454556"
"1272","Edwin Rojas","Athletics (R)",2000-11-01,678598,"sa3006372"
"1273","Edwin Salas","Mexican (AAA)",1991-08-20,553831,"sa509482"
"1274","Edwin Uceta","- - -",1998-01-09,670955,"sa921576"
"1275","Edwuin Bencomo","Padres (R)",1999-04-14,667746,"sa917763"
"1276","Edwyn Valle","Mexican (AAA)",1988-06-30,683030,"sa3008439"
"1277","Efrain Contreras","- - -",2000-01-02,678713,"sa3005692"
"1278","Efrain Morales","- - -",2001-06-26,678632,"sa3005690"
"1279","Eger Acosta","Mexican (AAA)",1994-12-27,680028,"sa3005369"
"1280","Eiker Huizi","Mets (R)",2000-09-24,678973,"sa3007842"
"1281","Elbis Afanador","Mariners (R)",1999-10-30,678987,"sa3005699"
"1282","El'Hajj Muhammad","Mexican (AAA)",1991-07-07,595337,"sa550244"
"1283","Eli Kraus","Cardinals (A-)",1996-02-03,676360,"sa3007221"
"1284","Eli Lingos","- - -",1996-05-21,661526,"sa3006798"
"1285","Eli Morgan","- - -",1996-05-13,669212,"sa915827"
"1286","Eli Villalobos","- - -",1997-06-26,681871,"sa3007997"
"1287","Elian Ferreira","Rangers (R)",2000-04-12,678578,"sa3005439"
"1288","Elian Leyva","- - -",1989-03-17,673140,"sa964182"
"1289","Elian Pena","Angels (R)",2000-03-12,681657,"sa3005882"
"1290","Elian Rodriguez","Astros (R)",1997-03-10,677080,"sa3004715"
"1291","Elian Suarez","Giants (R)",2000-04-06,672705,"sa3008539"
"1292","Elias Espino","- - -",1997-04-19,673264,"sa3002801"
"1293","Elias Herrera","- - -",1997-09-23,673276,"sa3003089"
"1294","Elias Liriano","Phillies (R)",1999-03-19,681707,"sa3008041"
"1295","Eliezer Bello","- - -",1999-02-12,678497,"sa3005438"
"1296","Eliezer Rodriguez","Marlins (R)",1999-02-17,673206,"sa3003064"
"1297","Elio Serrano","- - -",1998-08-02,665939,"sa917324"
"1298","Elio Silva","Blue Jays (A-)",1995-08-21,660894,"sa872820"
"1299","Elixon Caballero","Blue Jays (R)",2000-07-09,672539,"sa3002973"
"1300","Elkin Alcala","Marlins (A-)",1997-08-02,666669,"sa917126"
"1301","Elliot Ashbeck","- - -",1993-11-16,664142,"sa875665"
"1302","Elniery Garcia","- - -",1994-12-24,622556,"sa684104"
"1303","Eloy Ara","Mexican (AAA)",1996-01-03,682815,"sa3008105"
"1304","Elroy Urbina","Mexican (AAA)",1989-07-22,607754,"sa599414"
"1305","Elvin Rodriguez","Tigers (A)",1998-03-31,660730,"sa873437"
"1306","Elvin Serrano","Yankees (R)",1999-02-15,679016,"sa3006603"
"1307","Elvis Alvarado","Nationals (R)",1999-02-23,665660,"sa919291"
"1308","Elvis Diaz","- - -",1993-02-06,613547,"sa657780"
"1309","Elvis Escobar","- - -",1994-09-06,623911,"sa657855"
"1310","Elvis Luciano","- - -",2000-02-15,672773,"sa3003029"
"1311","Elvis Peguero","Yankees (R)",1997-03-20,665625,"sa916949"
"1312","Elvis Urriola","Rangers (R)",1997-09-09,660683,"sa873183"
"1313","Emanuel Vizcaino","Blue Jays (R)",1999-08-24,672638,"sa3003005"
"1314","Emerson Jimenez","Blue Jays (A)",1994-12-16,622658,"sa657311"
"1315","Emerson Martinez","Rangers (A+)",1995-01-11,627218,"sa747285"
"1316","Emerson Ortiz","Red Sox (R)",1997-02-10,677666,"sa3006102"
"1317","Emilio Alfonzo","Rays (R)",2000-08-02,674465,"sa3003146"
"1318","Emilio Ferrebus","Cubs (R)",1997-11-25,660562,"sa871486"
"1319","Emilio Marquez","Royals (R)",1998-04-28,679892,"sa3006145"
"1320","Emilio Ogando","Royals (AA)",1993-08-13,656809,"sa829049"
"1321","Emilio Vargas","- - -",1996-08-12,642496,"sa736761"
"1322","Emilker Guzman","- - -",1999-02-10,675842,"sa3003158"
"1323","Emmanuel Betances","Rangers (R)",1996-02-05,660426,"sa873721"
"1324","Emmanuel Clase","Rangers (A-)",1998-03-18,661403,"sa873427"
"1325","Emmanuel De Leon","- - -",1990-12-25,542621,"sa507213"
"1326","Emmanuel Duran","Angels (R)",2000-10-09,678710,"sa3005837"
"1327","Emmanuel Estevez","Royals (R)",1996-08-22,665195,"sa876535"
"1328","Emmanuel Quinones","Tigers (R)",1999-04-15,678297,"sa3005819"
"1329","Emmanuel Ramirez","- - -",1994-07-15,642629,"sa736752"
"1330","Emmy Morel","Rangers (R)",1999-09-18,681718,"sa3006171"
"1331","Enderson Franco","- - -",1992-12-29,575070,"sa547840"
"1332","Endry Manrique","Rays (R)",2000-11-03,679028,"sa3006393"
"1333","Endrys Briceno","- - -",1992-02-07,553968,"sa505062"
"1334","Engel Estevez","Phillies (R)",2000-02-08,679006,"sa3005700"
"1335","Enmanuel Almonte","Mets (R)",1997-11-09,680592,"sa3006405"
"1336","Enmanuel De Jesus","- - -",1996-12-10,646241,"sa828317"
"1337","Enmanuel De Los Santos","Pirates (R)",2000-10-14,679735,"sa3007726"
"1338","Enmanuel Marcano","Dodgers (R)",1998-12-04,668547,"sa919030"
"1339","Enmanuel Pio","Rockies (R)",2000-04-11,682908,"sa3008490"
"1340","Enmanuel Solano","- - -",1998-09-23,670921,"sa921578"
"1341","Enoli Paredes","- - -",1995-09-28,660600,"sa920300"
"1342","Enrique Castillo","Rockies (R)",1999-11-27,672470,"sa3004795"
"1343","Enrique De Los Rios","Cubs (A)",1995-05-02,642853,"sa737281"
"1344","Enrique Oquendo","Mexican (AAA)",1993-11-17,670617,"sa919820"
"1345","Enrique Perez","Cardinals (R)",1997-08-10,650884,"sa828529"
"1346","Enrique Saldana","Rockies (R)",1999-06-26,665885,"sa917066"
"1347","Enrique Santana","- - -",1997-09-23,682451,"sa3007496"
"1348","Enrique Yeguez","Tigers (R)",2000-12-04,681602,"sa3008170"
"1349","Enzo Perez","Cubs (R)",2000-06-07,672490,"sa3002786"
"1350","Erasmo Pinales","Astros (AA)",1994-11-25,642681,"sa795280"
"1351","Erbert Gonzalez","- - -",1995-10-21,658070,"sa829868"
"1352","Eric Carter","- - -",1992-07-21,667518,"sa918629"
"1353","Eric Gonzalez","Cubs (R)",1996-09-02,658483,"sa831146"
"1354","Eric Hepple","Rockies (A-)",1996-03-28,682093,"sa3006992"
"1355","Eric Marinez","Athletics (A+)",1995-09-12,642714,"sa736686"
"1356","Eric Mendez","Diamondbacks (R)",1999-12-03,677804,"sa3005433"
"1357","Eric Pardinho","Blue Jays (R)",2001-01-05,672078,"sa968102"
"1358","Eric Pena","Nationals (R)",1999-06-29,672727,"sa3002609"
"1359","Eric Perez","Indians/Brewers (R)",1997-07-27,671580,"sa943748"
"1360","Eric Peterson","- - -",1993-09-22,677368,"sa3004405"
"1361","Eric Villanueva","- - -",1998-03-19,670240,"sa918697"
"1362","Eric White","- - -",1996-03-25,657802,"sa3007804"
"1363","Eric Yardley","- - -",1990-08-18,642233,"sa744476"
